"ITEM_NO","DESCR","DESCR_UPR","LONG_DESCR","LONG_DESCR_UPR","SHORT_DESCR","ADDL_DESCR_1","ADDL_DESCR_2","ADDL_DESCR_3","ITEM_TYP","CATEG_COD","SUBCAT_COD","ACCT_COD","LBL_COD","ATTR_COD_1","ATTR_COD_2","ATTR_COD_3","ATTR_COD_4","ATTR_COD_5","ATTR_COD_6","TRK_METH","STAT","STAT_DAT","IS_TXBL","TAX_CATEG_COD","QTY_DECS","PRC_DECS","STK_UNIT","ITEM_VEND_NO","WEIGHT","TARE_COD","CUBE","IS_WEIGHED","ALT_1_UNIT","ALT_1_NUMER","ALT_1_DENOM","ALT_1_WEIGHT","ALT_1_CUBE","ALT_1_PRC_1","ALT_2_UNIT","ALT_2_NUMER","ALT_2_DENOM","ALT_2_WEIGHT","ALT_2_CUBE","ALT_2_PRC_1","ALT_3_UNIT","ALT_3_NUMER","ALT_3_DENOM","ALT_3_WEIGHT","ALT_3_CUBE","ALT_3_PRC_1","ALT_4_UNIT","ALT_4_NUMER","ALT_4_DENOM","ALT_4_WEIGHT","ALT_4_CUBE","ALT_4_PRC_1","ALT_5_UNIT","ALT_5_NUMER","ALT_5_DENOM","ALT_5_WEIGHT","ALT_5_CUBE","ALT_5_PRC_1","PREF_UNIT","PROMPT_FOR_PRC","PROMPT_FOR_COST","PROMPT_FOR_DESCR","WARR_PRD_1","WARR_UNIT_1","WARR_PRD_2","WARR_UNIT_2","SER_NO_REQ_FOR_SAL","SER_PROMPT_COD_1","SER_PROMPT_COD_2","SER_PROMPT_COD_3","PROF_ALPHA_1","PROF_ALPHA_2","PROF_ALPHA_3","PROF_ALPHA_4","PROF_ALPHA_5","PROF_COD_1","PROF_COD_2","PROF_COD_3","PROF_COD_4","PROF_COD_5","PROF_DAT_1","PROF_DAT_2","PROF_DAT_3","PROF_DAT_4","PROF_DAT_5","PROF_NO_1","PROF_NO_2","PROF_NO_3","PROF_NO_4","PROF_NO_5","GRID_DIM_1_TAG","GRID_DIM_2_TAG","GRID_DIM_3_TAG","GRID_DIM_1_TAG_UPR","GRID_DIM_2_TAG_UPR","GRID_DIM_3_TAG_UPR","GRID_ENT_1","GRID_ENT_2","GRID_ENT_3","CELL_BARCOD_PRE","NXT_CELL_BARCOD_NO","PRC_1","BARCOD","PS_PROMPT_COD_1","PS_PROMPT_COD_2","PS_PROMPT_COD_3","IS_ECOMM_ITEM","ECOMM_LST_PUB_DT","ECOMM_LST_PUB_STAT","ECOMM_ON_SPECL_UNTIL","ECOMM_IMG_FILE","ECOMM_TXBL_1","ECOMM_TXBL_2","ECOMM_TXBL_3","URL","ECOMM_NEW","ECOMM_NEW_UNTIL","ECOMM_ON_SPECL","ECOMM_CHRG_FRT","ECOMM_FRT_AMT","VEND_ITEM_NO","LST_COST","DFLT_COST_OF_SLS_PCT","REG_PRC","ALT_1_REG_PRC","ALT_2_REG_PRC","ALT_3_REG_PRC","ALT_4_REG_PRC","ALT_5_REG_PRC","ITEM_IS_MISC","CATEG_SUBCAT","PREF_UNIT_NAM","LST_RECV_DAT","PREF_UNIT_NUMER","PREF_UNIT_DENOM","ECOMM_ITEM_IS_DISCNTBL","IS_FOOD_STMP_ITEM","PROMPT_FOR_UNIT","PROMPT_FOR_CUSTOM_FLDS","MIX_MATCH_COD","PREF_UNIT_WEIGHT","PREF_UNIT_CUBE","PREF_UNIT_REG_PRC","PREF_UNIT_PRC_1","IS_ADM_TKT","DIM_COUNT","DIM_COD","DIM_COD_LABEL","IS_BOM_PAR","IS_KIT_PAR","COPY_FROM_ITEM_NO","BARCOD_3_OF_9","PS_LIN_CUST_FLD_FRM_ID","IS_DISCNTBL","ECOMM_DISC_ON_SAL","ECOMM_LST_CHNG_UTC_DT","ECOMM_NXT_PUB_TYP","ECOMM_PUB_STAT","RS_UTC_DT","RS_STAT","LST_MAINT_DT","LST_MAINT_USR_ID","LST_LCK_DT","ROW_TS"
"I-000384","TR Concentrates Gorilla Glue","TR CONCENTRATES GORILLA GLUE","TR Concentrates Gorilla Glue","TR CONCENTRATES GORILLA GLUE","TR Concentrates","","","","I","CANNIBIS","CONC","RETAIL","","REC","","","","","","N","A","","Y","MJ",0,2,"GRAM","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","YES","","","","","","","","","",1,,,,,"","","","","","",,,,"",,40,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",13,,,,,,,,"N","CANNIBIS/CONC","GRAM","10/28/2017 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,40,"N",0,"","","N","N","","",,"Y","Y","","",,"10/28/2017 08:17:05.257 PM",0,"7/13/2016 01:41:03.000 PM","ROB","","0x00000000002E5EB0"
"I-000385","Chiefton Mile High 2 T-Shirt","CHIEFTON MILE HIGH 2 T-SHIRT","Chiefton Mile High 2 T-Shirt","CHIEFTON MILE HIGH 2 T-SHIRT","Chiefton Mile H","","","","I","NON THC","CLOTHING","RETAIL","","HARD","","","","","","G","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"Size","","","SIZE","","",1,,,"1",69,25,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",12.5,,,,,,,,"N","NON THC/CLOTHING","EACH","8/18/2016 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,25,"N",1,"Size","Size","N","N","","",,"Y","Y","","",,"8/18/2016 10:21:29.680 PM",0,"7/13/2016 01:41:07.000 PM","ROB","","0x00000000000621E6"
"I-000386","Chiefton Smoke Trees T-Shirt","CHIEFTON SMOKE TREES T-SHIRT","Chiefton Smoke Trees T-Shirt","CHIEFTON SMOKE TREES T-SHIRT","Chiefton Smoke","","","","I","NON THC","CLOTHING","RETAIL","","HARD","","","","","","G","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"Size","","","SIZE","","",1,,,"1",109,25,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",12.5,,,,,,,,"N","NON THC/CLOTHING","EACH","8/18/2016 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,25,"N",1,"Size","Size","N","N","","",,"Y","Y","","",,"8/18/2016 10:21:29.130 PM",0,"7/13/2016 01:41:11.000 PM","ROB","","0x00000000000621E7"
"I-000387","Chiefton Stoney Owl T-Shirt","CHIEFTON STONEY OWL T-SHIRT","Chiefton Stoney Owl T-Shirt","CHIEFTON STONEY OWL T-SHIRT","Chiefton Stoney","","","","I","NON THC","CLOTHING","RETAIL","","HARD","","","","","","G","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"Size","","","SIZE","","",1,,,"1",114,25,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",12.5,,,,,,,,"N","NON THC/CLOTHING","EACH","8/18/2016 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,25,"N",1,"Size","Size","N","N","","",,"Y","Y","","",,"8/18/2016 10:21:28.930 PM",0,"7/13/2016 01:41:18.000 PM","ROB","","0x00000000000621E8"
"I-000388"," Cheifton Smokey Bear T-Shirt"," CHEIFTON SMOKEY BEAR T-SHIRT","Smokey the Bear T-Shirt","SMOKEY THE BEAR T-SHIRT","Smokey the Bear","","","","I","NON THC","CLOTHING","RETAIL","","HARD","","","","","","G","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"Size","","","SIZE","","",1,,,"1",119,25,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",12.5,,,,,,,,"N","NON THC/CLOTHING","EACH","8/18/2016 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,25,"N",1,"Size","Size","N","N","","",,"Y","Y","","",,"11/16/2016 07:54:34.000 PM",0,"11/16/2016 12:54:34.000 PM","RACHEL","","0x00000000000E1ABE"
"I-000389","Chiefton Bud Beard 2 T-Shirt","CHIEFTON BUD BEARD 2 T-SHIRT","Chiefton Bud Beard 2 T-Shirt","CHIEFTON BUD BEARD 2 T-SHIRT","Bud Beard","","","","I","NON THC","CLOTHING","RETAIL","","HARD","","","","","","G","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"Size","","","SIZE","","",1,,,"1",124,25,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",12.5,,,,,,,,"N","NON THC/CLOTHING","EACH","8/18/2016 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,25,"N",1,"Size","Size","N","N","","",,"Y","Y","","",,"8/18/2016 10:21:29.837 PM",0,"7/13/2016 01:41:26.000 PM","ROB","","0x00000000000621EA"
"I-000390","Chiefton Headdress T-Shirt","CHIEFTON HEADDRESS T-SHIRT","Chiefton Headdress T-Shirt","CHIEFTON HEADDRESS T-SHIRT","Headdress t-shi","","","","I","NON THC","CLOTHING","RETAIL","","HARD","","","","","","G","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"Size","","","SIZE","","",1,,,"1",129,25,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",12.5,,,,,,,,"N","NON THC/CLOTHING","EACH","8/18/2016 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,25,"N",1,"Size","Size","N","N","","",,"Y","Y","","",,"8/18/2016 10:21:29.287 PM",0,"7/13/2016 01:41:30.000 PM","ROB","","0x00000000000621EB"
"I-000391","Chiefton Free Bird T-Shirt","CHIEFTON FREE BIRD T-SHIRT","Chiefton Free Bird T-Shirt","CHIEFTON FREE BIRD T-SHIRT","Free Bird t-shi","","","","I","NON THC","CLOTHING","RETAIL","","HARD","","","","","","G","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"Size","","","SIZE","","",1,,,"1",134,25,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",0,,,,,,,,"N","NON THC/CLOTHING","EACH","",1,1,"Y","N","N","N","",,,,25,"N",1,"Size","Size","N","N","","",,"Y","Y","","",,"7/13/2016 07:41:32.113 PM",0,"7/13/2016 01:41:35.000 PM","ROB","","0x000000000003591D"
"I-000392","Chiefton Grow Life T-Shirt","CHIEFTON GROW LIFE T-SHIRT","Chiefton Grow Life T-Shirt","CHIEFTON GROW LIFE T-SHIRT","Grow Life t-shi","","","","I","NON THC","CLOTHING","RETAIL","","HARD","","","","","","G","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"Size","","","SIZE","","",1,,,"1",139,25,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",12.5,,,,,,,,"N","NON THC/CLOTHING","EACH","8/18/2016 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,25,"N",1,"Size","Size","N","N","","",,"Y","Y","","",,"8/18/2016 10:21:29.423 PM",0,"7/13/2016 01:41:39.000 PM","ROB","","0x00000000000621EC"
"I-000393","Chiefton Cannasseur Hat","CHIEFTON CANNASSEUR HAT","Chiefton Cannasseur Hat","CHIEFTON CANNASSEUR HAT","Cannass hat","","","","I","NON THC","CLOTHING","RETAIL","","HARD","","","","","","N","A","","Y","NONMJ",0,2,"EACH","",,"",,"N","",,,,,,"",,,,,,"",,,,,,"",,,,,,"",,,,,,"0","N","N","N",,"D",,"D","N","","","","","","","","","NO","","","","","","","","","",0,,,,,"","","","","","",,,,"",,40,"","","","","N","","!","","","N","N","N","","N","","N","Y",,"",18,,,,,,,,"N","NON THC/CLOTHING","EACH","8/18/2016 12:00:00.000 AM",1,1,"Y","N","N","N","",,,,40,"N",0,"","","N","N","","",,"Y","Y","","",,"8/18/2016 10:21:29.977 PM",0,"7/13/2016 01:41:44.000 PM","ROB","","0x00000000000621ED"
