"RFID","BARCODE","NAME","QTY ON HAND","BUY PRICE","SELL PRICE","CATEGORY","SUBCAT_COD","BARCODE TYPE","BATCH NUMBER"
"1A40003126874B3000030563","10000042","OPEN 250MG INDICA CARTRIDGE",21,15,40,"CANNIBIS","CONC","USER","04111634"
"1A40003126874B3000027353","10000043","OPEN 250MG CBD CARTRIDGE",9,15,40,"CANNIBIS","CONC","USER","02101601"
"1A40003126874B3000019294","10000044","OPEN 500MG HYBRID CARTRIDGE",29,25,70,"CANNIBIS","CONC","USER","11171525"
"1A40003126874B3000016664","10000045","OPEN 500MG HYBRID CARTRIDGE",29,25,70,"CANNIBIS","CONC","USER","01081635"
"1A40003126874B3000016664","10000046","OPEN 500MG HYBRID CARTRIDGE",29,25,70,"CANNIBIS","CONC","USER","01081679"
"1A40003126874B3000027353","10000047","OPEN 500MG INDICA",28,25,70,"CANNIBIS","CONC","USER","03221607"
"1A40003126874B3000028382","10000048","OPEN 500MG INDICA",28,25,70,"CANNIBIS","CONC","USER","04061609"
"1A40003126874B3000016664","10000049","OPEN 500MG INDICA",28,25,70,"CANNIBIS","CONC","USER","01081665"
"1A40003126874B3000028382","10000050","OPEN 500MG INDICA",28,25,70,"CANNIBIS","CONC","USER","01081689"
"1A40003126874A0000002618","10000051","VENOM LIVE RESIN 1G KUSHAGE",0,0.01,40,"CANNIBIS","CONC","USER","VC002157"
"1A40003126874A0000002619","10000053","VENOM LIVE RESIN 1G GLASS SLIP",0,0,40,"CANNIBIS","CONC","USER","VC002055"
"1A4000312687488000007418","10000054","LAB INDICA BLEND BUDDER",0,4,50,"CANNIBIS","CONC","USER","160405"
"1A4000312687488000009324","10000055","PRISMATIC BUBBA SHATTER",0,17,50,"CANNIBIS","","USER","160307"
"1A4000312687488000007420","10000056","THE LAB NYC BUDDER",0,0,50,"CANNIBIS","CONC","USER","160405"
"1A4000312687488000007537","10000057","LAB PLATINUM OG SHATTER 1G",0,4,50,"CANNIBIS","CONC","USER","160405"
"1A40003126874B3000023016","10000069","OPEN RESERVE CBD",0,35,50,"CANNIBIS","CONC","USER","01061601"
"1A40003126874EF000001764","10000070","SWEET 1G CARTRIDGE INDICA",27,37,100,"CANNIBIS","CONC","USER","1638"
"1A40003126874EF000001765","10000071","SWEET 1G CARTRIDGE SATIVA",26,37,100,"CANNIBIS","CONC","USER","1636"
"1A40003126874EF000001510","10000072","SWEET SAP 1G INDICA",1,25,40,"CANNIBIS","CONC","USER","653"
"1A40003126874EF000001513","10000074","SWEET 300MG CARTRIDGE INDICA",31,17,45,"CANNIBIS","CONC","USER","1409"
